agent,model,skillMethod,all,solved,unsolved
OpenClaw,Qwen3.5-27B,Memento,40.7,39.4,23.5
OpenClaw,Qwen3.5-27B,ReasoningBank,-6.3,-5.7,-16.3
OpenClaw,Qwen3.5-27B,GEPA,-4.8,4.4,-18.2
OpenClaw,Qwen3.5-27B,Anchor Skill†,-3.4,-13.6,-2.8
Nanobot,Qwen3.5-27B,Memento,-2.1,4.8,-0.9
Nanobot,Qwen3.5-27B,ReasoningBank,3.6,2.4,7.9
Nanobot,Qwen3.5-27B,GEPA,-7.2,8.0,-13.0
Nanobot,Qwen3.5-27B,Anchor Skill†,-8.8,-10.6,-9.8
OpenClaw,Qwen3.5-397B,Memento,-3.5,4.3,-18.8
OpenClaw,Qwen3.5-397B,ReasoningBank,-10.3,-2.1,-26.1
OpenClaw,Qwen3.5-397B,GEPA,25.4,27.6,13.1
OpenClaw,Qwen3.5-397B,Anchor Skill†,-8.0,-5.4,-11.3
Nanobot,Qwen3.5-397B,Memento,-10.8,-9.3,-20.8
Nanobot,Qwen3.5-397B,ReasoningBank,-0.4,1.0,4.7
Nanobot,Qwen3.5-397B,GEPA,13.7,24.4,-8.2
Nanobot,Qwen3.5-397B,Anchor Skill†,-4.0,1.4,8.3
OpenClaw,Gemma-4-31B,Memento,13.6,38.8,10.4
OpenClaw,Gemma-4-31B,ReasoningBank,34.8,31.6,42.8
OpenClaw,Gemma-4-31B,GEPA,44.6,40.3,52.7
OpenClaw,Gemma-4-31B,Anchor Skill†,7.6,16.5,26.9
Nanobot,Gemma-4-31B,Memento,43.9,12.8,-16.0
Nanobot,Gemma-4-31B,ReasoningBank,37.6,30.4,42.4
Nanobot,Gemma-4-31B,GEPA,41.5,9.3,-8.3
Nanobot,Gemma-4-31B,Anchor Skill†,32.7,11.5,-6.4
